"County","TotalBeds","TotalHospitals","TotalPositives","TotalTests","Population","CaseLoad"
"Albany",3840,123,1479,14911,307117,0.38515625
"Allegany",526,18,42,846,46430,0.079847909
"Bronx",18316,334,41441,121455,1432132,2.262557327
"Broome",2472,68,379,5512,191659,0.153317152
"Cattaraugus",855,29,61,1497,76840,0.071345029
"Cayuga",674,15,60,1267,77145,0.089020772
"Chautauqua",1413,33,42,1791,127939,0.029723992
"Chemung",1157,17,131,2830,84254,0.113223855
"Chenango",665,22,112,1630,47536,0.168421053
"Clinton",1019,26,77,1182,80695,0.075564279
"Columbia",945,22,314,2307,59916,0.332275132
"Cortland",707,19,30,1526,47823,0.042432815
"Delaware",441,23,65,1111,44527,0.14739229
"Dutchess",3025,66,3399,19528,293718,1.123636364
"Erie",9210,165,4530,27437,919719,0.491856678
"Essex",373,21,32,800,37300,0.085790885
"Franklin",434,23,17,767,50293,0.039170507
"Fulton",807,23,135,1313,53591,0.167286245
"Genesee",667,15,174,1884,57511,0.260869565
"Greene",280,7,206,1613,47491,0.735714286
"Hamilton",0,3,5,61,4434,0
"Herkimer",651,18,81,1318,61833,0.124423963
"Jefferson",1078,46,68,2188,111755,0.063079777
"Kings",20768,378,50331,157548,2582830,2.423488059
"Lewis",214,11,11,656,26447,0.051401869
"Livingston",457,15,102,1783,63227,0.223194748
"Madison",565,26,251,2148,70795,0.444247788
"Monroe",7962,232,1890,24215,742474,0.237377543
"Montgomery",789,25,67,1131,49455,0.084917617
"Nassau",14608,182,38434,119881,1358343,2.631024096
"New York",19568,338,24191,94347,1628701,1.236253066
"Niagara",2059,50,671,5638,210433,0.325886353
"Oneida",3835,85,676,6384,229577,0.176271186
"Onondaga",5440,97,1308,15851,461809,0.240441176
"Ontario",1056,41,107,2699,109864,0.101325758
"Orange",2443,63,9632,35323,381951,3.94269341
"Orleans",368,12,133,1010,40612,0.361413043
"Oswego",746,40,76,2135,117898,0.101876676
"Otsego",787,55,67,1883,59749,0.085133418
"Putnam",527,12,1098,5734,98892,2.083491461
"Queens",17748,230,57391,163568,2278906,3.233660131
"Rensselaer",1607,46,416,4977,159442,0.258867455
"Richmond",5240,68,12769,41865,476179,2.436832061
"Rockland",2553,43,12504,37882,325695,4.897767333
"Saratoga",970,57,407,6994,230163,0.419587629
"Schenectady",1875,42,581,6067,155350,0.309866667
"Schoharie",50,6,46,889,31097,0.92
"Schuyler",149,8,8,596,17912,0.053691275
"Seneca",295,7,49,836,34300,0.166101695
"Steuben",864,29,229,3072,95796,0.265046296
"Suffolk",12511,203,37062,117873,1481093,2.962353129
"Sullivan",799,20,1119,5085,75498,1.400500626
"Tioga",292,9,107,1410,48560,0.366438356
"Tompkins",724,24,132,5265,102793,0.182320442
"Ulster",1728,48,1465,10820,178599,0.847800926
"Warren",898,37,221,2177,64265,0.24610245
"Washington",567,12,210,1632,61197,0.37037037
"Wayne",751,28,83,2159,90064,0.110519308
"Westchester",12304,209,31472,113647,967612,2.55786736
"Wyoming",304,10,77,1141,40085,0.253289474
"Yates",249,10,21,445,24841,0.084337349
"Lawrence",1132,46,191,3573,108047,0.16
