County,Deaths,CaseLoad
Albany,90,9.3984375
Allegany,2,2.39353612
Bronx,76,68.4607447
Broome,30,3.71804207
Cattaraugus,2,1.79649123
Cayuga,1,2.28635015
Chautauqua,4,0.80467091
Chemung,3,3.18668972
Chenango,4,5.06766917
Clinton,4,2.2767419
Columbia,32,6.61269841
Cortland,0,1.41301273
Delaware,4,4.84580499
Dutchess,124,32.7186777
Erie,420,11.5639522
Essex,0,2.29490617
Franklin,0,1.35253456
Fulton,15,2.52168525
Genesee,4,6.83358321
Greene,10,14.9642857
Hamilton,1,88
Herkimer,3,3.30107527
Jefferson,0,2.02504638
Kings,60,75.9329738
Lewis,0,1.53271028
Livingston,7,4.89496718
Madison,8,10.2035398
Monroe,172,6.19166039
Montgomery,4,2.18504436
Nassau,2044,86.0808461
New York City,15171,40.680601
Niagara,54,6.62117533
Oneida,35,3.71003911
Onondaga,92,5.21084559
Ontario,12,2.96022727
Orange,408,117.106836
Orleans,24,6.88858696
Oswego,3,2.91689008
Otsego,4,2.79161372
Putnam,57,58.0303605
Queens,72,102.005184
Renessler,23,5.59614188
Richmond,34,77.6049618
Rockland,602,160.141011
Saratoga,14,12.6989691
Schenectady,28,7.9664
Schoharie,2,23.2
Schuyler,0,1.71812081
Seneca,2,3.77966102
St. Lawrence,2,115.13
Steuben,41,7.96296296
Suffolk,1748,91.5575893
Sullivan,28,33.0788486
Tioga,20,7.50342466
Tompkins,0,7.19060774
Ulster,68,23.0121528
Warren,29,5.37861915
Washington,14,7.24162258
Wayne,3,3.26764314
Westchester,1289,86.2508127
Wyoming,5,6.62828947
Yates,5,1.81927711
