"County","TotalBeds","TotalHospitals","TotalPositives","TotalTests","Population","CaseLoad"
"Albany",3840,123,36090,381901,307117,9.3984375
"Allegany",526,18,1259,18835,46430,2.393536122
"Bronx",18316,334,1253927,2944023,1432132,68.4607447
"Broome",2472,68,9191,85935,191659,3.718042071
"Cattaraugus",855,29,1536,29228,76840,1.796491228
"Cayuga",674,15,1541,31899,77145,2.286350148
"Chautauqua",1413,33,1137,34968,127939,0.804670913
"Chemung",1157,17,3687,53681,84254,3.186689715
"Chenango",665,22,3370,26406,47536,5.067669173
"Clinton",1019,26,2320,26787,80695,2.276741904
"Columbia",945,22,6249,48108,59916,6.612698413
"Cortland",707,19,999,40662,47823,1.41301273
"Delaware",441,23,2137,23676,44527,4.845804989
"Dutchess",3025,66,98974,480812,293718,32.71867769
"Erie",9210,165,106504,526161,919719,11.56395223
"Essex",373,21,856,13054,37300,2.294906166
"Franklin",434,23,587,13666,50293,1.352534562
"Fulton",807,23,2035,25600,53591,2.521685254
"Genesee",667,15,4558,34267,57511,6.833583208
"Greene",280,7,4190,36289,47491,14.96428571
"Hamilton",20,3,159,1515,4434,88
"Herkimer",651,18,2149,25700,61833,3.301075269
"Jefferson",1078,46,2183,54917,111755,2.025046382
"Kings",20768,378,1576976,3761195,2582830,75.93297381
"Lewis",214,11,328,10987,26447,1.53271028
"Livingston",457,15,2237,30927,63227,4.894967177
"Madison",565,26,5765,44999,70795,10.20353982
"Monroe",7962,232,49298,500108,742474,6.191660387
"Montgomery",789,25,1724,23003,49455,2.18504436
"Nassau",14608,182,1257469,3226176,1358343,86.08084611
"New York",19568,338,796038,2345483,1628701,40.68060098
"Niagara",2059,50,13633,88331,210433,6.621175328
"Oneida",3835,85,14228,113570,229577,3.710039113
"Onondaga",5440,97,28347,380304,461809,5.210845588
"Ontario",1056,41,3126,53910,109864,2.960227273
"Orange",2443,63,286092,902570,381951,117.1068359
"Orleans",368,12,2535,20240,40612,6.888586957
"Oswego",746,40,2176,52282,117898,2.91689008
"Otsego",787,55,2197,39961,59749,2.791613723
"Putnam",527,12,30582,131236,98892,58.03036053
"Queens",17748,230,1810388,4014606,2278906,102.0051837
"Rensselaer",1607,46,8993,123837,159442,5.596141879
"Richmond",5240,68,406650,1095630,476179,77.60496183
"Rockland",2553,43,408840,1049478,325695,160.1410106
"Saratoga",970,57,12318,181953,230163,12.69896907
"Schenectady",1875,42,14937,140951,155350,7.9664
"Schoharie",50,6,1160,18792,31097,23.2
"Schuyler",149,8,256,12382,17912,1.718120805
"Seneca",295,7,1115,15714,34300,3.779661017
"Steuben",864,29,6880,60781,95796,7.962962963
"Suffolk",12511,203,1145477,3057474,1481093,91.55758932
"Sullivan",799,20,26430,124521,75498,33.07884856
"Tioga",292,9,2191,26418,48560,7.503424658
"Tompkins",724,24,5206,132252,102793,7.190607735
"Ulster",1728,48,39765,259578,178599,23.01215278
"Warren",898,37,4830,49154,64265,5.378619154
"Washington",567,12,4106,34813,61197,7.241622575
"Wayne",751,28,2454,43499,90064,3.267643142
"Westchester",12304,209,1061230,3483802,967612,86.25081274
"Wyoming",304,10,2015,19598,40085,6.628289474
"Yates",249,10,453,8898,24841,1.819277108
"Lawrence",1132,46,5296,66205,108047,115.13
