,County,TotalBeds,TotalHospitals,TotalPositives,TotalTests,Population,CaseLoad
0,Albany,0.18411413148255254,0.32,0.019848869949603068,0.09478628817537404,0.1173919754762263,0.05393475589988811
1,Allegany,0.024387892808945433,0.04000000000000001,0.0006076579261518888,0.004315875219375778,0.016287645497433292,0.009971769228044075
2,Bronx,0.8818199344515134,0.8826666666666666,0.69260187523236,0.7332273302549083,0.5537155658013742,0.4246116982472641
3,Broome,0.11818006554848659,0.17333333333333334,0.004989423990003475,0.021036153927234638,0.07261297333691177,0.018284411225480773
4,Cattaraugus,0.04024484287642183,0.06933333333333333,0.0007606772402828643,0.006905649535482741,0.028081799692522016,0.006224696242855404
5,Cayuga,0.031521110468478886,0.032,0.000763439321765369,0.007571221285537749,0.02820009028869111,0.009299066602826506
6,Chautauqua,0.06713900134952766,0.07999999999999999,0.0005402631379786832,0.00833596845922506,0.04789993468807739,0.0
7,Chemung,0.05480046269519953,0.03733333333333333,0.0019489246940580518,0.012998957661313926,0.030957230774481495,0.014949626724695908
8,Chenango,0.03108733371891266,0.050666666666666665,0.0017738087280669973,0.006202450928723027,0.01671659434780383,0.026754714388282225
9,Clinton,0.04814921920185078,0.06133333333333332,0.0011937716167401968,0.006297390216170026,0.029576915260495287,0.009238764954006967
10,Columbia,0.04458261037208405,0.050666666666666665,0.00336421524569544,0.011610252545980138,0.02151802903820825,0.036451367662952955
11,Cortland,0.03311162521688836,0.04266666666666666,0.0004640296890614376,0.00975482489681892,0.016827903859608848,0.003817972837803524
12,Delaware,0.020291112396375544,0.05333333333333333,0.0010926794344803953,0.005522177294260203,0.015549589744942208,0.025362287623390822
13,Dutchess,0.1448332369385001,0.168,0.05458701633881681,0.11943337442385434,0.11219533384321105,0.20029333446275854
14,Erie,0.4429342587237324,0.432,0.05874671105147471,0.13073364147486313,0.354982322343038,0.06752559609525054
15,Essex,0.017013688066319643,0.04799999999999999,0.0003850341586617012,0.00287533973189244,0.012746684372765077,0.009352764447378509
16,Franklin,0.019953730480046256,0.05333333333333333,0.0002364341749027249,0.0030278406345632253,0.01778586376956838,0.0034384099074713514
17,Fulton,0.0379313668787353,0.05333333333333333,0.0010363329722372222,0.006001608236643516,0.01906495356027546,0.010776037308079883
18,Genesee,0.031183728552149598,0.032,0.0024300792883110434,0.008161290137701838,0.020585278599563453,0.037837647750934816
19,Greene,0.012531328320802004,0.010666666666666658,0.002226790091198416,0.008665141159271,0.016699141636893636,0.08886619853835678
20,Hamilton,0.0,0.0,0.0,0.0,0.0,0.5472406938573231
21,Herkimer,0.030412569886254084,0.04000000000000001,0.0010993084300384148,0.006026526684792338,0.0222615145229825,0.015667514145887435
22,Jefferson,0.05099286678234047,0.11466666666666667,0.0011180905841194771,0.013306949680433361,0.041623164168731255,0.0076591157509787455
23,Kings,1.0,1.0,0.8710594074009421,0.9368539113615915,1.0,0.47150764881747564
