,County,TotalBeds,TotalHospitals,TotalPositives,TotalTests,Population,CaseLoad
0,Albany,0.184899846,0.32,0.025685707,0.0908218,0.117391975,0.078639148
1,Allegany,0.025327427,0.04,0.000644757,0.004801018,0.016287645,0.01630292
2,Bronx,0.881933744,0.882666667,0.722057645,0.742439162,0.553715566,0.461956882
3,Broome,0.119029276,0.173333333,0.006517269,0.033338022,0.072612973,0.031303478
4,Cattaraugus,0.041169106,0.069333333,0.000975848,0.008782499,0.0280818,0.014566847
5,Cayuga,0.032453775,0.032,0.000958422,0.007375831,0.02820009,0.018175786
6,Chautauqua,0.068037365,0.08,0.000644757,0.010580587,0.047899935,0.006068886
7,Chemung,0.055710709,0.037333333,0.002195657,0.016935055,0.030957231,0.023117443
8,Chenango,0.032020416,0.050666667,0.001864566,0.009595919,0.016716594,0.034387312
9,Clinton,0.049065871,0.061333333,0.001254661,0.006855976,0.029576915,0.015428311
10,Columbia,0.045502696,0.050666667,0.005384589,0.013736415,0.021518029,0.067842163
11,Cortland,0.034042758,0.042666667,0.000435646,0.008959861,0.016827904,0.008663706
12,Delaware,0.021234592,0.053333333,0.001045551,0.006421743,0.01554959,0.030093771
13,Dutchess,0.14565678,0.168,0.059143345,0.119059123,0.112195334,0.229418077
14,Erie,0.443470724,0.432,0.078851985,0.167430141,0.354982322,0.100424672
15,Essex,0.017960324,0.048,0.000470498,0.004519684,0.012746684,0.017516325
16,Franklin,0.020897535,0.053333333,0.00020911,0.004317858,0.017785864,0.007997625
17,Fulton,0.038857858,0.053333333,0.002265361,0.007657165,0.019064954,0.034155613
18,Genesee,0.032116718,0.032,0.002944969,0.01114937,0.020585279,0.053262956
19,Greene,0.01348228,0.010666667,0.003502596,0.009491948,0.016699142,0.150214217
20,Hamilton,0,0,0,0,0,0
21,Herkimer,0.031346302,0.04,0.001324365,0.007687744,0.022261515,0.025404221
22,Jefferson,0.05190678,0.114666667,0.001097829,0.013008617,0.041623164,0.012879292
23,Kings,1,1,0.876973478,0.963182004,1,0.49481486
24,Lewis,0.010304314,0.021333333,0.000104555,0.003638988,0.008537478,0.010494959
25,Livingston,0.022005008,0.032,0.001690308,0.010531659,0.022802161,0.045570713
26,Madison,0.027205316,0.061333333,0.00428676,0.01276398,0.025737319,0.090704143
27,Monroe,0.383378274,0.610666667,0.032847733,0.147724562,0.286239972,0.04846648
28,Montgomery,0.03799114,0.058666667,0.001080403,0.006544062,0.017460856,0.017338026
29,Nassau,0.703389831,0.477333333,0.669658105,0.732812662,0.525097386,0.537188461
30,New York,0.942218798,0.893333333,0.421461681,0.576648095,0.629952498,0.252411554
31,Niagara,0.099142912,0.125333333,0.011605618,0.034108631,0.079894244,0.066537737
32,Oneida,0.184659091,0.218666667,0.011692747,0.038671127,0.087319015,0.03599011
33,Onondaga,0.261941448,0.250666667,0.022705886,0.096570789,0.177387415,0.049091996
34,Ontario,0.050847458,0.101333333,0.001777437,0.016133866,0.040889762,0.020688153
35,Orange,0.117632897,0.16,0.167758687,0.215660492,0.146415446,0.804998103
36,Orleans,0.017719569,0.024,0.002230509,0.005804033,0.014031204,0.073791387
37,Oswego,0.035920647,0.098666667,0.001237236,0.012684472,0.044005653,0.020800636
38,Otsego,0.037894838,0.138666667,0.001080403,0.011143254,0.02145326,0.017382087
39,Putnam,0.025375578,0.024,0.019046457,0.034695762,0.036634404,0.425396169
40,Queens,0.854583975,0.605333333,1,1,0.882126718,0.660231471
41,Rensselaer,0.077378659,0.114666667,0.007162026,0.030065991,0.060117996,0.052854176
42,Richmond,0.252311248,0.173333333,0.222423588,0.255671011,0.182960647,0.497539367
43,Rockland,0.122929507,0.106666667,0.217805737,0.231311198,0.12459723,1
44,Saratoga,0.046706471,0.144,0.007005193,0.042401854,0.087546288,0.085669163
45,Schenectady,0.090283128,0.104,0.010037291,0.036732372,0.058530963,0.063266923
46,Schoharie,0.00240755,0.008,0.00071446,0.005064003,0.010340925,0.187840691
47,Schuyler,0.007174499,0.013333333,5.23E-05,0.003272031,0.005227281,0.010962398
48,Seneca,0.014204545,0.010666667,0.000766738,0.004739858,0.01158317,0.033913758
49,Steuben,0.041602465,0.069333333,0.003903391,0.018415114,0.035433657,0.054115738
50,Suffolk,0.60241718,0.533333333,0.645749834,0.720531843,0.572704503,0.604837455
51,Sullivan,0.03847265,0.045333333,0.0194124,0.030726513,0.027561321,0.285946745
52,Tioga,0.014060092,0.016,0.001777437,0.008250411,0.01711374,0.074817428
53,Tompkins,0.034861325,0.056,0.002213083,0.031827384,0.03814736,0.037225215
54,Ulster,0.083204931,0.12,0.025441745,0.065801464,0.067547809,0.173099469
55,Warren,0.043239599,0.090666667,0.003763984,0.012941342,0.023204737,0.050247885
56,Washington,0.027301618,0.024,0.0035723,0.009608151,0.02201485,0.075620246
57,Wayne,0.036161402,0.066666667,0.001359217,0.012831255,0.03321057,0.022565243
58,Westchester,0.592449923,0.549333333,0.548339316,0.694685854,0.373557049,0.522251709
59,Wyoming,0.014637904,0.018666667,0.001254661,0.006605222,0.013826813,0.051715293
60,Yates,0.011989599,0.018666667,0.000278814,0.002348523,0.00791461,0.01721955
61,St. Lawrence,0.054506934,0.114666667,0.003241209,0.021479203,0.040185061,0.032667946
